"SwimExID","MinTime","MaxTime","TimeBetweenIncrements","TimeUnits","SwimmingTimeAtMaxVelocity","VelocityIncrements","VelocityUnits"
"1EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"2EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"3EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"4EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"5EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"6EXH",NA,NA,180,"s",NA,6.7,"cm/s"
"7EXH",NA,NA,120,"s",NA,NA,"cm/s"
"8EXH",20,20,NA,"s",NA,NA,"cm/s"
"9EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"10EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"11EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"12EXH",NA,NA,600,"s",NA,10,"cm/s"
"13EXH",NA,NA,600,"s",NA,10,"cm/s"
"14EXH",NA,NA,600,"s",NA,10,"cm/s"
"15EXH",NA,NA,600,"s",NA,10,"cm/s"
"16EXH",NA,NA,1800,"s",NA,10,"cm/s"
"17EXH",300,672,NA,"s",NA,NA,"cm/s"
"18EXH",NA,NA,900,"s",NA,10,"cm/s"
"19EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"20EXH",NA,NA,600,"s",NA,10,"cm/s"
"21EXH",NA,NA,600,"s",NA,10,"cm/s"
"22EXH",NA,NA,900,"s",NA,10,"cm/s"
"23EXH",NA,NA,900,"s",NA,10,"cm/s"
"24EXH",1680,4602,NA,"s",NA,NA,"cm/s"
"25EXH",618,1152,NA,"s",NA,NA,"cm/s"
"26EXH",168,234,NA,"s",NA,NA,"cm/s"
"27EXH",1506,2796,NA,"s",NA,NA,"cm/s"
"28EXH",816,1962,NA,"s",NA,NA,"cm/s"
"29EXH",216,294,NA,"s",NA,NA,"cm/s"
"30EXH",48,138,NA,"s",NA,NA,"cm/s"
"31EXH",792,3342,NA,"s",NA,NA,"cm/s"
"32EXH",426,678,NA,"s",NA,NA,"cm/s"
"33EXH",252,294,NA,"s",NA,NA,"cm/s"
"34EXH",66,84,NA,"s",NA,NA,"cm/s"
"35EXH",NA,NA,600,"s",NA,10,"cm/s"
"36EXH",NA,NA,600,"s",NA,10,"cm/s"
"37EXH",NA,10,NA,"s",NA,NA,"cm/s"
"38EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"39EXH",NA,500,NA,"s",NA,NA,"cm/s"
"40EXH",NA,3600,NA,"s",NA,NA,"cm/s"
"41EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"42EXH",NA,NA,600,"s",NA,10,"cm/s"
"43EXH",NA,NA,600,"s",NA,10,"cm/s"
"44EXH",NA,NA,120,"s",NA,NA,"cm/s"
"45EXH",NA,NA,120,"s",NA,NA,"cm/s"
"46EXH",NA,120,120,"s",NA,NA,"cm/s"
"47EXH",NA,NA,180,"s",NA,6.7,"cm/s"
"48EXH",NA,NA,NA,"s",7200,NA,"cm/s"
"49EXH",NA,NA,NA,"s",7200,NA,"cm/s"
"50EXH",NA,NA,NA,"s",7200,NA,"cm/s"
"51EXH",NA,NA,NA,"s",120,NA,"cm/s"
"52EXH",NA,NA,NA,"s",120,NA,"cm/s"
"53EXH",NA,NA,NA,"s",7200,NA,"cm/s"
"54EXH",NA,NA,NA,"s",7200,NA,"cm/s"
"55EXH",NA,NA,NA,"s",7200,NA,"cm/s"
"56EXH",NA,NA,NA,"s",120,NA,"cm/s"
"57EXH",NA,NA,NA,"s",120,NA,"cm/s"
"58EXH",NA,NA,NA,"s",120,NA,"cm/s"
"59EXH",NA,NA,180,"s",NA,6.7,"cm/s"
"60EXH",NA,NA,600,"s",NA,NA,"cm/s"
"61EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"62EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"63EXH",0.33,0.33,NA,"s",0.33,NA,"cm/s"
"64EXH",NA,NA,1800,"s",NA,10,"cm/s"
"65EXH",NA,NA,300,"s",NA,15.2,"cm/s"
"66EXH",NA,NA,900,"s",NA,15.2,"cm/s"
"67EXH",NA,NA,300,"s",NA,15.2,"cm/s"
"68EXH",NA,NA,1800,"s",NA,10,"cm/s"
"69EXH",NA,NA,1800,"s",NA,10,"cm/s"
"70EXH",NA,NA,3600,"s",NA,6.1,"cm/s"
"71EXH",NA,NA,NA,"s",840,NA,"cm/s"
"72EXH",NA,NA,NA,"s",480,NA,"cm/s"
"73EXH",NA,NA,NA,"s",120,NA,"cm/s"
"74EXH",NA,NA,NA,"s",120,NA,"cm/s"
"75EXH",NA,NA,180,"s",NA,6.7,"cm/s"
"76EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"77EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"78EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"79EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"80EXH",NA,NA,600,"s",NA,10,"cm/s"
"81EXH",NA,NA,600,"s",NA,10,"cm/s"
"82EXH",NA,NA,600,"s",NA,NA,"cm/s"
"83EXH",NA,NA,300,"s",NA,10,"cm/s"
"84EXH",NA,NA,600,"s",NA,10,"cm/s"
"85EXH",NA,NA,1800,"s",NA,10,"cm/s"
"86EXH",NA,NA,3600,"s",NA,10,"cm/s"
"87EXH",NA,NA,1800,"s",NA,10,"cm/s"
"88EXH",NA,NA,1800,"s",NA,10,"cm/s"
"89EXH",NA,NA,1800,"s",NA,10,"cm/s"
"90EXH",NA,NA,1800,"s",NA,10,"cm/s"
"91EXH",NA,NA,1800,"s",NA,10,"cm/s"
"92EXH",NA,NA,1800,"s",NA,10,"cm/s"
"93EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"94EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"95EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"96EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"97EXH",600,600,NA,"s",NA,NA,"cm/s"
"98EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"99EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"100EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"101EXH",NA,NA,1800,"s",NA,10,"cm/s"
"102EXH",NA,NA,120,"s",NA,NA,"cm/s"
"103EXH",NA,NA,NA,"s",600,NA,"cm/s"
"104EXH",NA,NA,NA,"s",600,NA,"cm/s"
"105EXH",NA,NA,NA,"s",240,NA,"cm/s"
"106EXH",NA,NA,NA,"s",120,NA,"cm/s"
"107EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"108EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"109EXH",NA,NA,900,"s",NA,NA,"cm/s"
"110EXH",NA,NA,900,"s",NA,NA,"cm/s"
"111EXH",NA,NA,900,"s",NA,NA,"cm/s"
"112EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"113EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"114EXH",NA,NA,1200,"s",NA,NA,"cm/s"
"115EXH",NA,NA,900,"s",NA,NA,"cm/s"
"116EXH",NA,NA,900,"s",NA,NA,"cm/s"
"117EXH",NA,NA,900,"s",NA,NA,"cm/s"
"118EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"119EXH",NA,NA,300,"s",NA,NA,"cm/s"
"120EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"121EXH",900,900,900,"s",NA,NA,"cm/s"
"122EXH",900,900,900,"s",NA,NA,"cm/s"
"123EXH",900,900,900,"s",NA,NA,"cm/s"
"124EXH",2.6,12.5,NA,"s",NA,NA,"cm/s"
"125EXH",1.71,3.19,NA,"s",NA,NA,"cm/s"
"126EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"127EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"128EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"129EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"130EXH",NA,NA,1200,"s",NA,NA,"cm/s"
"131EXH",NA,NA,900,"s",NA,NA,"cm/s"
"132EXH",NA,NA,900,"s",NA,NA,"cm/s"
"133EXH",1,20,NA,"s",NA,NA,"cm/s"
"134EXH",NA,NA,600,"s",NA,10,"cm/s"
"135EXH",NA,NA,1800,"s",NA,NA,"cm/s"
"136EXH",NA,NA,1800,"s",NA,NA,"cm/s"
"137EXH",NA,NA,NA,"s",3600,NA,"cm/s"
"138EXH",NA,NA,1200,"s",NA,9,"cm/s"
"139EXH",NA,NA,1200,"s",NA,9,"cm/s"
"140EXH",1,12.5,NA,"s",NA,NA,"cm/s"
"141EXH",1,20,NA,"s",NA,NA,"cm/s"
"142EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"143EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"144EXH",NA,NA,600,"s",NA,10,"cm/s"
"145EXH",NA,NA,600,"s",NA,10,"cm/s"
"146EXH",NA,NA,900,"s",NA,NA,"cm/s"
"147EXH",NA,NA,10,"s",NA,NA,"cm/s"
"148EXH",NA,NA,NA,"s",NA,NA,"cm/s"
"149EXH",NA,NA,3600,"s",NA,9.2,"cm/s"
"150EXH",NA,NA,1200,"s",NA,NA,"cm/s"
"151EXH",NA,NA,1200,"s",NA,NA,"cm/s"
"152EXH",NA,NA,1200,"s",NA,NA,"cm/s"
"153EXH",NA,NA,1200,"s",NA,NA,"cm/s"
"154EXH",NA,NA,3600,"s",NA,NA,"cm/s"
"155EXH",NA,NA,3600,"s",NA,9.2,"cm/s"
"156EXH",NA,NA,3600,"s",NA,9.2,"cm/s"
